account_id,account_name,signup_date,seats,is_trial,churn_flag,days_since_signup,n_subscriptions,n_churned_subs,n_upgrades,n_downgrades,n_trial_subs,total_mrr,max_mrr,avg_mrr,auto_renew_pct,tenure_days,latest_mrr,sub_churn_rate,upgrade_net,total_usage_events,unique_features_used,total_usage_duration_mins,total_errors,beta_feature_pct,avg_usage_count,error_rate,feature_breadth,n_tickets,avg_resolution_hours,avg_first_response_mins,avg_satisfaction,n_escalations,urgent_pct,escalation_rate,n_churn_events,had_reactivation,had_preceding_downgrade,had_preceding_upgrade,total_refund_usd,primary_churn_reason_budget,primary_churn_reason_competitor,primary_churn_reason_features,primary_churn_reason_pricing,primary_churn_reason_support,primary_churn_reason_unknown,days_since_last_usage,usage_last_30d,usage_last_90d,recency_ratio,has_active_sub,active_mrr,usage_per_seat,tickets_per_seat,mrr_per_seat,industry_Cybersecurity,industry_DevTools,industry_EdTech,industry_FinTech,industry_HealthTech,country_AU,country_CA,country_DE,country_FR,country_IN,country_UK,country_US,referral_source_ads,referral_source_event,referral_source_organic,referral_source_other,referral_source_partner,plan_tier_Basic,plan_tier_Enterprise,plan_tier_Pro,latest_plan_tier_Basic,latest_plan_tier_Enterprise,latest_plan_tier_Pro,billing_freq_annual,billing_freq_monthly
A-592832,Company_10,2024-09-25,18,False,True,299,19,3,1,1,3,32571,8358,1714.3,0.789,83,882,0.15789473684210525,0,101,38,5438.0,55,0.129,10.43,0.5446,0.95,3.0,32.7,80.7,4.33,0.0,0.0,0.0,1.0,0.0,0.0,0.0,22.66,False,False,False,False,True,False,203,0,0,0.0,1,26833,5.61,0.167,1809.5,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False
A-d40bf7,Company_11,2024-11-08,59,False,False,255,10,0,1,0,3,43247,11741,4324.7,0.6,254,1121,0.0,1,55,29,2503.1,22,0.091,10.22,0.4,0.725,2.0,20.5,125.5,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,242,0,0,0.0,1,43247,0.93,0.034,733.0,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True
A-6c093d,Company_12,2023-04-14,7,True,False,829,12,3,2,0,2,16242,12139,1353.5,0.833,551,0,0.25,2,64,30,3621.2,30,0.156,10.47,0.4688,0.75,3.0,40.3,68.3,4.33,1.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,203,0,0,0.0,1,15556,9.14,0.429,2320.3,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,True,False
A-462d45,Company_13,2024-01-15,11,True,False,553,12,2,1,2,2,23432,10348,1952.7,0.833,331,1470,0.16666666666666666,-1,69,34,2659.4,26,0.116,9.3,0.3768,0.85,4.0,26.8,95.0,4.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,217,0,0,0.0,1,18752,6.27,0.364,2130.2,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,True,False
A-956988,Company_14,2024-11-30,1,False,False,233,13,1,0,1,2,29407,10945,2262.1,0.769,21,6368,0.07692307692307693,-1,70,32,2887.2,49,0.114,9.4,0.7,0.8,2.0,50.5,118.0,3.5,0.0,0.5,0.0,2.0,1.0,1.0,1.0,0.0,True,False,False,False,False,False,209,0,0,0.0,1,29407,70.0,2.0,29407.0,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False
A-ac14bb,Company_15,2023-09-08,21,False,False,682,8,2,2,0,1,27746,14129,3468.2,0.875,389,532,0.25,2,54,31,2847.1,42,0.13,9.83,0.7778,0.775,2.0,24.5,30.5,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,128.79,False,True,False,False,False,False,215,0,0,0.0,1,20382,2.57,0.095,1321.2,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False
A-463db0,Company_16,2024-12-05,15,False,False,228,7,0,0,0,0,13266,8358,1895.1,0.714,224,735,0.0,0,37,25,1771.0,13,0.081,9.92,0.3514,0.625,6.0,50.2,94.8,4.17,1.0,0.167,0.167,1.0,1.0,0.0,0.0,0.0,False,False,True,False,False,False,206,0,0,0.0,1,13266,2.47,0.4,884.4,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False
A-ce66f8,Company_17,2023-08-23,29,False,False,698,6,0,0,0,0,11858,7363,1976.3,1.0,697,1421,0.0,0,46,29,2226.0,19,0.13,10.74,0.413,0.725,6.0,41.7,79.2,3.83,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,202,0,0,0.0,1,11858,1.59,0.207,408.9,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False
A-c4ea60,Company_18,2023-03-09,18,False,True,865,9,0,0,1,1,14646,3582,1627.3,0.778,832,3582,0.0,-1,43,28,2287.4,18,0.209,9.93,0.4186,0.7,5.0,36.0,59.0,3.6,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,222,0,0,0.0,1,14646,2.39,0.278,813.7,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True
A-832ec2,Company_19,2023-11-19,4,True,False,610,8,0,3,0,2,9299,4378,1162.4,0.375,566,4378,0.0,3,49,31,2628.5,25,0.122,10.43,0.5102,0.775,3.0,26.0,108.7,4.0,1.0,0.0,0.333,2.0,0.0,0.0,1.0,0.0,False,False,False,True,False,False,210,0,0,0.0,1,9299,12.25,0.75,2324.8,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False
A-684255,Company_20,2024-04-14,9,False,False,463,14,3,3,1,2,11844,2786,846.0,0.643,256,0,0.21428571428571427,2,66,34,3197.5,44,0.227,9.89,0.6667,0.85,4.0,14.2,97.8,4.5,1.0,0.25,0.25,2.0,1.0,0.0,0.0,0.0,True,False,False,False,False,False,225,0,0,0.0,1,10864,7.33,0.444,1316.0,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False
A-c42f1f,Company_21,2024-07-28,8,False,False,358,8,1,1,1,0,5175,2388,646.9,0.75,149,152,0.125,0,35,24,1639.7,20,0.143,9.63,0.5714,0.6,9.0,31.3,81.9,4.0,1.0,0.111,0.111,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,264,0,0,0.0,1,4636,4.38,1.125,646.9,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True
A-4e44e8,Company_22,2024-08-20,3,False,True,335,14,2,2,0,3,36445,15522,2603.2,0.786,64,3383,0.14285714285714285,2,69,32,3473.1,37,0.116,9.96,0.5362,0.8,3.0,31.3,76.7,3.33,0.0,0.333,0.0,2.0,1.0,0.0,1.0,35.48,True,False,False,False,False,False,239,0,0,0.0,1,20531,23.0,1.0,12148.3,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,True,False
A-30b4ca,Company_23,2024-05-20,86,False,True,427,8,0,0,0,1,75938,17114,9492.2,0.875,423,1634,0.0,0,42,28,2123.9,22,0.238,9.57,0.5238,0.7,3.0,57.7,108.3,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,211,0,0,0.0,1,75938,0.49,0.035,883.0,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False
A-9f2731,Company_24,2024-10-04,1,False,False,290,7,0,0,1,3,3613,1617,516.1,1.0,282,0,0.0,-1,32,23,1635.2,20,0.062,10.12,0.625,0.575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,136.94,False,False,True,False,False,False,214,0,0,0.0,1,3613,32.0,0.0,3613.0,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False
A-32fb14,Company_25,2023-03-07,26,False,True,867,9,2,2,0,1,10162,5174,1129.1,0.778,346,5174,0.2222222222222222,2,47,27,2511.8,19,0.043,10.38,0.4043,0.675,5.0,34.0,59.6,4.2,0.0,0.6,0.0,3.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,208,0,0,0.0,1,8775,1.81,0.192,390.8,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False
A-00cac8,Company_26,2023-09-15,8,True,False,675,9,0,0,1,1,14121,7761,1569.0,0.889,674,931,0.0,-1,58,30,2856.1,31,0.121,10.38,0.5345,0.75,2.0,33.0,120.5,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,209,0,0,0.0,1,14121,7.25,0.25,1765.1,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False
A-35083d,Company_27,2023-04-28,19,False,True,815,16,1,3,0,3,32433,9751,2027.1,0.875,389,9751,0.0625,3,72,29,3950.9,37,0.097,10.99,0.5139,0.725,4.0,49.8,119.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,204,0,0,0.0,1,31502,3.79,0.211,1707.0,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,False,True
A-eb7fac,Company_28,2023-10-28,7,False,False,632,10,1,0,0,0,42096,27064,4209.6,0.9,118,494,0.1,0,53,27,3095.5,44,0.113,10.15,0.8302,0.675,4.0,34.0,126.5,4.0,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False,True,214,0,0,0.0,1,41753,7.57,0.571,6013.7,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True
A-b20d99,Company_29,2023-09-27,20,False,False,663,7,0,1,0,0,11069,3980,1581.3,0.857,542,3980,0.0,1,33,22,1753.6,12,0.152,9.97,0.3636,0.55,2.0,61.5,27.0,3.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,301,0,0,0.0,1,11069,1.65,0.1,553.4,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,True
A-396e5f,Company_30,2024-10-02,2,False,False,292,10,0,2,1,1,10236,2597,1023.6,0.8,292,1666,0.0,1,55,29,2923.8,23,0.091,9.82,0.4182,0.725,5.0,24.8,102.8,4.0,1.0,0.2,0.2,1.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,208,0,0,0.0,1,10236,27.5,2.5,5118.0,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True
A-45ce7a,Company_31,2023-07-23,16,False,False,729,7,1,2,1,1,8216,3184,1173.7,0.714,276,3184,0.14285714285714285,1,39,21,2083.0,30,0.051,10.87,0.7692,0.525,5.0,45.4,91.8,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,209,0,0,0.0,1,7432,2.44,0.312,513.5,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,True,False,False,True
A-08e34e,Company_32,2024-06-27,14,False,True,389,11,0,0,0,2,21821,5970,1983.7,0.636,385,2786,0.0,0,63,34,3115.5,32,0.111,10.33,0.5079,0.85,3.0,43.0,84.0,3.33,0.0,0.0,0.0,2.0,0.0,0.0,0.0,228.75,False,True,False,False,False,False,203,0,0,0.0,1,21821,4.5,0.214,1558.6,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True
A-8145a0,Company_33,2023-04-25,2,True,False,818,12,1,2,0,1,17260,4975,1438.3,0.917,307,285,0.08333333333333333,2,64,32,3336.3,27,0.078,10.83,0.4219,0.8,6.0,23.7,90.2,4.0,0.0,0.167,0.0,1.0,0.0,0.0,0.0,0.0,False,False,True,False,False,False,207,0,0,0.0,1,12285,32.0,3.0,8630.0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True
A-bad8c1,Company_34,2023-03-01,7,False,False,873,7,0,2,0,2,7797,2646,1113.9,1.0,770,1813,0.0,2,37,29,2094.6,11,0.162,10.41,0.2973,0.725,1.0,27.0,49.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,False,False,False,False,False,True,209,0,0,0.0,1,7797,5.29,0.143,1113.9,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True
A-44dc83,Company_35,2024-05-12,5,False,False,435,4,0,0,0,3,456,456,114.0,1.0,399,0,0.0,0,24,16,1352.0,13,0.125,10.33,0.5417,0.4,7.0,40.9,76.1,4.43,0.0,0.143,0.0,1.0,0.0,1.0,0.0,98.48,False,False,False,False,False,True,285,0,0,0.0,1,456,4.8,1.4,91.2,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False
A-f446b6,Company_36,2023-05-12,5,True,False,801,9,1,0,0,0,11392,3582,1265.8,0.778,504,95,0.1111111111111111,0,39,27,2125.2,31,0.077,9.64,0.7949,0.675,8.0,30.8,82.5,4.12,1.0,0.5,0.125,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,219,0,0,0.0,1,8805,7.8,1.6,2278.4,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,True,False
A-a45270,Company_37,2024-06-24,3,False,False,392,12,1,2,1,2,20131,4975,1677.6,0.75,171,0,0.08333333333333333,1,71,35,3709.7,53,0.056,10.32,0.7465,0.875,4.0,64.0,110.0,4.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,False,False,False,True,False,False,208,0,0,0.0,1,19984,23.67,1.333,6710.3,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,False,True,False
A-854864,Company_38,2024-12-07,20,False,False,226,6,1,0,0,0,14759,4459,2459.8,0.833,21,980,0.16666666666666666,0,24,17,1225.3,10,0.167,10.33,0.4167,0.425,5.0,44.2,100.8,4.8,0.0,0.0,0.0,1.0,0.0,0.0,1.0,8.47,False,False,False,False,True,False,218,0,0,0.0,1,14379,1.2,0.25,738.0,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False
A-1b7577,Company_39,2024-10-27,4,False,False,267,11,2,0,1,1,8771,2009,797.4,1.0,39,2009,0.18181818181818182,-1,62,33,3260.0,33,0.065,10.44,0.5323,0.825,5.0,27.2,109.4,4.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,213,0,0,0.0,1,8505,15.5,1.25,2192.8,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True
A-05f0e5,Company_40,2023-05-04,32,False,False,809,12,0,2,0,0,51109,18308,4259.1,0.833,771,2842,0.0,2,67,32,3451.9,46,0.134,10.54,0.6866,0.8,4.0,20.0,108.5,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,72.19,False,False,True,False,False,False,203,0,0,0.0,1,51109,2.09,0.125,1597.2,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,True,False
A-9077b0,Company_41,2024-08-25,2,False,False,330,7,2,3,0,3,3565,2786,509.3,1.0,126,0,0.2857142857142857,3,46,26,2438.4,31,0.109,10.72,0.6739,0.65,3.0,40.3,136.3,4.33,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,245,0,0,0.0,1,779,23.0,1.5,1782.5,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True
A-7f8241,Company_42,2023-03-14,34,False,True,860,15,0,2,0,1,39516,7164,2634.4,0.667,847,6766,0.0,2,77,34,3786.4,38,0.065,9.53,0.4935,0.85,1.0,36.0,135.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,212,0,0,0.0,1,39516,2.26,0.029,1162.2,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True
A-2bc93d,Company_43,2023-03-14,14,False,False,860,13,1,4,0,1,32394,7960,2491.8,0.846,436,1715,0.07692307692307693,4,67,33,3595.6,31,0.075,9.94,0.4627,0.825,2.0,12.0,78.0,4.5,0.0,0.5,0.0,2.0,1.0,0.0,0.0,99.1,False,True,False,False,False,False,226,0,0,0.0,1,32128,4.79,0.143,2313.9,False,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,True
A-f3ff05,Company_44,2024-07-06,2,False,False,380,13,1,1,0,1,19465,9552,1497.3,0.923,31,570,0.07692307692307693,1,66,28,3505.4,36,0.061,10.18,0.5455,0.7,3.0,42.7,111.3,3.67,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,False,False,False,False,True,202,0,0,0.0,1,19427,33.0,1.5,9732.5,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True
A-2d4502,Company_45,2024-04-29,7,False,False,448,10,0,2,0,1,29071,8159,2907.1,0.7,447,6766,0.0,2,47,29,2133.3,19,0.149,9.89,0.4043,0.725,3.0,26.3,82.0,4.67,0.0,0.667,0.0,1.0,0.0,0.0,1.0,0.0,False,False,False,True,False,False,226,0,0,0.0,1,29071,6.71,0.429,4153.0,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False
A-6a4e2d,Company_46,2023-04-07,9,False,False,836,11,3,2,1,1,10394,4378,944.9,0.818,528,686,0.2727272727272727,1,59,27,2879.4,31,0.051,10.12,0.5254,0.675,2.0,18.5,141.0,4.5,1.0,0.0,0.5,1.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,209,0,0,0.0,1,9537,6.56,0.222,1154.9,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False
A-eb7c38,Company_47,2024-02-25,5,False,False,512,15,4,3,1,4,38210,17910,2547.3,0.667,248,627,0.26666666666666666,2,70,33,3399.1,27,0.086,9.9,0.3857,0.825,5.0,22.4,67.4,4.2,0.0,0.4,0.0,1.0,0.0,1.0,0.0,6.26,True,False,False,False,False,False,218,0,0,0.0,1,17144,14.0,1.0,7642.0,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False
A-c37601,Company_48,2024-10-31,6,True,False,263,12,2,0,0,3,20475,10746,1706.2,0.833,58,10746,0.16666666666666666,0,48,28,2197.2,21,0.062,10.19,0.4375,0.7,4.0,42.2,83.0,3.75,0.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,226,0,0,0.0,1,17490,8.0,0.667,3412.5,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,True
A-3b5cd1,Company_49,2023-09-12,13,True,False,678,13,0,2,1,2,23676,6368,1821.2,0.692,660,6368,0.0,1,52,27,2966.0,24,0.096,10.06,0.4615,0.675,5.0,27.4,46.6,4.0,0.0,0.4,0.0,3.0,0.0,0.0,1.0,113.17,False,False,False,True,False,False,212,0,0,0.0,1,23676,4.0,0.385,1821.2,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False
A-b2225d,Company_50,2024-03-08,47,False,True,500,12,0,1,1,5,19088,9353,1590.7,0.75,475,893,0.0,0,73,34,3944.9,60,0.068,9.53,0.8219,0.85,2.0,42.0,38.0,3.5,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,True,False,False,False,False,False,225,0,0,0.0,1,19088,1.55,0.043,406.1,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False
A-94f8c9,Company_51,2024-03-29,13,False,False,479,16,1,2,1,3,31989,7164,1999.3,0.875,54,2587,0.0625,1,77,33,3402.1,63,0.091,9.69,0.8182,0.825,3.0,47.3,87.7,4.67,0.0,0.667,0.0,1.0,0.0,0.0,0.0,0.0,True,False,False,False,False,False,230,0,0,0.0,1,31989,5.92,0.231,2460.7,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True
A-02fac6,Company_52,2023-04-06,22,False,False,837,11,0,1,0,0,26410,4577,2400.9,0.818,639,1078,0.0,1,53,32,2830.9,34,0.094,9.7,0.6415,0.8,6.0,23.3,100.5,4.0,0.0,0.167,0.0,1.0,0.0,0.0,0.0,0.0,False,False,False,False,True,False,206,0,0,0.0,1,26410,2.41,0.273,1200.5,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True
A-c1dfe1,Company_53,2023-08-07,26,False,False,714,8,1,1,2,0,25790,8159,3223.8,0.625,143,494,0.125,-1,39,24,2128.1,30,0.103,9.62,0.7692,0.6,3.0,50.3,93.7,4.0,0.0,0.333,0.0,2.0,0.0,0.0,1.0,0.0,False,False,True,False,False,False,210,0,0,0.0,1,25296,1.5,0.115,991.9,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True
A-32728c,Company_54,2023-01-03,20,False,True,930,8,1,1,0,2,4498,980,562.2,1.0,369,798,0.125,1,41,26,1922.1,22,0.146,10.2,0.5366,0.65,2.0,34.5,61.5,3.5,0.0,0.0,0.0,3.0,1.0,0.0,1.0,7.58,True,False,False,False,False,False,219,0,0,0.0,1,4118,2.05,0.1,224.9,False,True,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False
