account_id,account_name,industry,country,signup_date,referral_source,plan_tier,seats,is_trial,churn_flag,churned_next_180d,days_since_signup,n_subscriptions,n_upgrades,n_downgrades,n_trial_subs,total_mrr,max_mrr,avg_mrr,auto_renew_pct,tenure_days,n_ended_subs,latest_plan_tier,billing_freq,latest_seats,latest_mrr,first_seats,first_mrr,seat_growth,mrr_growth,mrr_growth_pct,upgrade_net,mrr_std,mrr_cv,pct_subs_ended,days_since_last_sub_start,total_usage_events,unique_features_used,total_usage_duration_mins,total_errors,beta_feature_pct,avg_usage_count,days_since_last_usage,usage_span_days,error_rate,usage_last_30d,usage_last_60d,usage_last_90d,usage_last_180d,accel_30d_vs_90d,accel_30d_vs_180d,accel_90d_vs_180d,usage_prior_90d,usage_momentum,usage_delta_90d,recency_ratio_90d,usage_trend_slope,mean_gap_days,max_gap_days,n_tickets,avg_resolution_hours,max_resolution_hours,avg_first_response_mins,avg_satisfaction,min_satisfaction,sat_missing_rate,n_escalations,days_since_last_ticket,n_urgent_high,urgent_pct,escalation_rate,tickets_last_30d,tickets_last_90d,tickets_last_180d,ticket_accel_30d_vs_90d,usage_per_seat,tickets_per_seat,mrr_per_seat
A-35083d,Company_27,HealthTech,IN,2023-04-28,partner,Basic,19,False,True,0,399,9.0,2.0,0.0,2.0,14326.0,3781.0,1591.8,0.889,363.0,0.0,Enterprise,monthly,19.0,3781.0,19.0,0.0,0.0,3781.0,,2.0,1675.579659235706,1.053,0.0,20.0,33.0,22.0,1865.8,17.0,0.091,10.64,5.0,506.0,0.5152,3.0,4.0,4.0,12.0,2.25,1.5,0.667,8.0,0.5,-4.0,0.121,-0.0163,16.3,57.0,2.0,42.5,52.0,131.5,5.0,5.0,0.0,0.0,242.0,2.0,1.0,0.0,0.0,0.0,0.0,,1.74,0.105,754.0
A-eb7fac,Company_28,DevTools,US,2023-10-28,organic,Enterprise,7,False,False,1,216,5.0,0.0,0.0,0.0,33896.0,27064.0,6779.2,0.8,157.0,1.0,Pro,monthly,92.0,4508.0,12.0,588.0,80.0,3920.0,6.667,0.0,11460.7835552374,1.691,0.2,7.0,18.0,14.0,998.6,16.0,0.111,9.89,21.0,492.0,0.8889,1.0,1.0,1.0,3.0,3.0,2.0,0.667,2.0,0.5,-1.0,0.056,0.0,28.9,83.0,4.0,34.0,71.0,126.5,4.0,4.0,0.75,0.0,38.0,2.0,0.5,0.0,0.0,1.0,2.0,0.0,2.57,0.571,4842.3
A-45ce7a,Company_31,FinTech,US,2023-07-23,ads,Enterprise,16,False,False,0,313,5.0,2.0,1.0,1.0,4728.0,3184.0,945.6,0.8,287.0,1.0,Pro,monthly,16.0,0.0,16.0,784.0,0.0,-784.0,-1.0,1.0,1281.932447518199,1.356,0.2,48.0,19.0,14.0,1024.2,20.0,0.053,10.37,57.0,459.0,1.0526,0.0,2.0,4.0,9.0,0.0,0.0,0.889,5.0,0.8,-1.0,0.211,-0.0072,25.5,84.0,4.0,44.2,60.0,89.5,3.67,3.0,0.25,0.0,57.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.19,0.25,295.5
A-44dc83,Company_35,EdTech,FR,2024-05-12,other,Basic,5,False,False,1,19,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,516.0,0.0,,0.0,0.0,,,516.0,516.0,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,6.0,43.7,65.0,87.8,4.5,4.0,0.333,0.0,90.0,4.0,0.667,0.0,0.0,1.0,1.0,0.0,,1.2,
A-f446b6,Company_36,DevTools,DE,2023-05-12,ads,Pro,5,True,False,0,385,6.0,0.0,0.0,0.0,8465.0,3582.0,1410.8,0.667,369.0,0.0,Pro,monthly,53.0,2597.0,30.0,570.0,23.0,2027.0,3.556,0.0,1411.2963426108163,1.0,0.0,36.0,19.0,16.0,952.5,13.0,0.158,9.58,4.0,477.0,0.6842,4.0,4.0,7.0,12.0,1.714,2.0,1.167,5.0,1.4,2.0,0.368,0.0174,26.5,78.0,7.0,32.6,55.0,76.1,4.25,3.0,0.429,0.0,17.0,5.0,0.714,0.0,1.0,1.0,3.0,3.0,3.8,1.4,1693.0
A-7f8241,Company_42,EdTech,US,2023-03-14,organic,Pro,34,False,True,0,444,11.0,2.0,0.0,1.0,23274.0,6766.0,2115.8,0.727,431.0,0.0,Basic,monthly,60.0,1140.0,34.0,646.0,26.0,494.0,0.765,2.0,2365.7500213751164,1.118,0.0,127.0,36.0,24.0,1599.2,11.0,0.056,9.0,18.0,498.0,0.3056,2.0,5.0,8.0,12.0,0.75,1.0,1.333,4.0,2.0,4.0,0.222,-0.0186,14.6,79.0,1.0,36.0,36.0,135.0,3.0,3.0,0.0,0.0,42.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.06,0.029,684.5
A-6a4e2d,Company_46,EdTech,UK,2023-04-07,partner,Pro,9,False,False,1,420,9.0,1.0,1.0,1.0,9214.0,4378.0,1023.8,0.778,368.0,0.0,Basic,monthly,20.0,380.0,56.0,0.0,-36.0,380.0,,0.0,1370.5806048695,1.339,0.0,55.0,36.0,20.0,1784.2,21.0,0.056,10.03,10.0,493.0,0.5833,5.0,7.0,11.0,17.0,1.364,1.765,1.294,6.0,1.833,5.0,0.306,-0.0198,14.1,45.0,1.0,22.0,22.0,156.0,4.0,4.0,0.0,0.0,41.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.111,1023.8
A-02fac6,Company_52,FinTech,US,2023-04-06,event,Pro,22,False,False,1,421,6.0,0.0,0.0,0.0,15080.0,4577.0,2513.3,0.833,223.0,0.0,Pro,monthly,59.0,2891.0,22.0,1078.0,37.0,1813.0,1.682,0.0,1676.835074378714,0.667,0.0,1.0,19.0,15.0,1242.8,9.0,0.0,9.95,9.0,446.0,0.4737,1.0,1.0,3.0,7.0,1.0,0.857,0.857,4.0,0.75,-1.0,0.158,0.0,24.8,79.0,6.0,23.3,36.0,100.5,4.0,3.0,0.667,0.0,13.0,2.0,0.333,0.0,1.0,1.0,2.0,3.0,0.86,0.273,685.5
A-4c38bc,Company_55,HealthTech,UK,2024-03-09,event,Basic,36,False,True,0,83,7.0,0.0,0.0,1.0,12744.0,7164.0,1820.6,0.857,75.0,0.0,Pro,annual,36.0,1764.0,36.0,684.0,0.0,1080.0,1.579,0.0,2440.918328358056,1.341,0.0,21.0,20.0,16.0,841.6,9.0,0.0,9.45,4.0,482.0,0.45,2.0,2.0,4.0,7.0,1.5,1.714,1.143,3.0,1.333,1.0,0.2,0.0,26.8,75.0,2.0,39.5,68.0,46.0,3.0,3.0,0.5,0.0,413.0,2.0,1.0,0.0,0.0,0.0,0.0,,0.56,0.056,354.0
A-9ee962,Company_59,HealthTech,US,2023-02-28,ads,Basic,9,False,True,1,458,7.0,3.0,1.0,2.0,3478.0,1470.0,496.9,0.714,343.0,1.0,Basic,monthly,9.0,171.0,9.0,441.0,0.0,-270.0,-0.612,2.0,603.6581340934144,1.215,0.143,6.0,30.0,20.0,1427.1,15.0,0.033,11.43,4.0,493.0,0.5,6.0,9.0,11.0,14.0,1.636,2.571,1.571,3.0,3.667,8.0,0.367,0.0258,17.6,63.0,3.0,37.0,64.0,69.7,4.0,4.0,0.667,0.0,5.0,1.0,0.333,0.0,1.0,1.0,2.0,3.0,3.33,0.333,386.4
A-7e0a10,Company_64,FinTech,US,2023-11-18,ads,Enterprise,46,False,False,1,195,7.0,1.0,0.0,0.0,25438.0,9154.0,3634.0,0.571,184.0,0.0,Enterprise,monthly,46.0,9154.0,46.0,874.0,0.0,8280.0,9.474,1.0,3821.0469769423144,1.051,0.0,83.0,18.0,16.0,1088.7,13.0,0.111,10.61,33.0,453.0,0.7222,0.0,1.0,2.0,5.0,0.0,0.0,0.8,3.0,0.667,-1.0,0.111,-0.0,26.6,55.0,3.0,39.3,68.0,80.0,4.0,3.0,0.333,0.0,128.0,3.0,1.0,0.0,0.0,0.0,1.0,,0.39,0.065,553.0
A-526d93,Company_66,HealthTech,FR,2024-04-14,organic,Basic,43,False,False,1,47,2.0,1.0,0.0,0.0,18308.0,9751.0,9154.0,0.0,42.0,0.0,Enterprise,monthly,49.0,9751.0,43.0,8557.0,6.0,1194.0,0.14,1.0,844.2854967367377,0.092,0.0,37.0,6.0,5.0,288.5,1.0,0.167,10.5,20.0,382.0,0.1667,1.0,2.0,3.0,3.0,1.0,2.0,2.0,0.0,,3.0,0.5,-0.0,76.4,219.0,4.0,50.8,72.0,129.0,3.5,3.0,0.5,1.0,47.0,3.0,0.75,0.25,0.0,1.0,2.0,0.0,0.14,0.093,425.8
A-a1bbb6,Company_74,DevTools,CA,2023-04-05,organic,Basic,1,False,False,0,422,7.0,0.0,0.0,0.0,14402.0,5572.0,2057.4,0.571,410.0,1.0,Pro,monthly,8.0,392.0,21.0,1029.0,-13.0,-637.0,-0.619,0.0,1863.0568838285512,0.906,0.143,95.0,26.0,18.0,1248.5,15.0,0.192,9.58,27.0,479.0,0.5769,1.0,3.0,3.0,8.0,1.0,0.75,0.75,5.0,0.6,-2.0,0.115,-0.0231,20.0,73.0,3.0,17.7,36.0,120.7,4.0,4.0,0.667,0.0,134.0,3.0,1.0,0.0,0.0,0.0,1.0,,26.0,3.0,14402.0
A-432483,Company_78,Cybersecurity,US,2023-02-06,ads,Pro,4,False,False,0,480,7.0,1.0,0.0,1.0,23657.0,11940.0,3379.6,0.714,425.0,1.0,Pro,monthly,8.0,392.0,5.0,245.0,3.0,147.0,0.6,1.0,4729.744702664294,1.399,0.143,29.0,25.0,18.0,1352.8,19.0,0.08,9.28,6.0,494.0,0.76,3.0,4.0,9.0,13.0,1.0,1.385,1.385,4.0,2.25,5.0,0.36,0.0035,21.5,83.0,0.0,,,,,,,0.0,516.0,0.0,,,0.0,0.0,0.0,,6.25,,5914.2
A-98a59a,Company_80,FinTech,UK,2023-08-04,partner,Enterprise,56,False,False,1,301,6.0,2.0,0.0,0.0,11424.0,2744.0,1904.0,0.5,272.0,0.0,Basic,monthly,56.0,1064.0,56.0,2744.0,0.0,-1680.0,-0.612,2.0,920.1738966086791,0.483,0.0,21.0,14.0,12.0,552.4,12.0,0.143,9.36,23.0,426.0,0.8571,1.0,1.0,3.0,7.0,1.0,0.857,0.857,4.0,0.75,-1.0,0.214,0.0128,32.8,121.0,1.0,24.0,24.0,68.0,,,1.0,0.0,436.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.25,0.018,204.0
A-fe79a5,Company_81,HealthTech,IN,2024-02-21,ads,Basic,9,True,False,0,100,4.0,2.0,0.0,3.0,1791.0,1791.0,447.8,1.0,90.0,0.0,Enterprise,monthly,9.0,1791.0,19.0,0.0,-10.0,1791.0,,2.0,895.5,2.0,0.0,9.0,12.0,10.0,575.8,9.0,0.083,10.25,56.0,452.0,0.75,0.0,1.0,2.0,5.0,0.0,0.0,0.8,3.0,0.667,-1.0,0.167,-0.0317,41.1,100.0,3.0,35.7,66.0,60.3,5.0,5.0,0.333,0.0,182.0,1.0,0.333,0.0,0.0,0.0,0.0,,1.33,0.333,199.0
A-726cfa,Company_82,DevTools,US,2023-07-01,partner,Pro,11,False,False,1,335,12.0,2.0,0.0,1.0,14319.0,5970.0,1193.2,0.833,321.0,0.0,Pro,annual,11.0,539.0,20.0,980.0,-9.0,-441.0,-0.45,2.0,1617.8456002856503,1.356,0.0,1.0,41.0,27.0,1947.4,12.0,0.195,9.76,1.0,460.0,0.2927,4.0,6.0,11.0,16.0,1.091,1.5,1.375,5.0,2.2,6.0,0.268,-0.0016,12.8,54.0,2.0,49.0,61.0,146.0,4.0,4.0,0.5,0.0,181.0,1.0,0.5,0.0,0.0,0.0,0.0,,3.73,0.182,1301.7
A-91e948,Company_88,EdTech,AU,2023-01-29,partner,Basic,41,False,False,0,488,5.0,1.0,0.0,1.0,5576.0,2009.0,1115.2,1.0,291.0,0.0,Basic,monthly,41.0,0.0,41.0,779.0,0.0,-779.0,-1.0,1.0,875.7123957099157,0.785,0.0,126.0,22.0,16.0,781.3,5.0,0.0,9.45,35.0,452.0,0.2273,0.0,2.0,4.0,6.0,0.0,0.0,1.333,2.0,2.0,2.0,0.182,-0.0,21.5,72.0,0.0,,,,,,,0.0,516.0,0.0,,,0.0,0.0,0.0,,0.54,,136.0
A-3a5ad8,Company_94,HealthTech,US,2023-12-05,organic,Enterprise,9,True,False,0,178,8.0,0.0,1.0,2.0,11216.0,6169.0,1402.0,1.0,165.0,0.0,Pro,monthly,9.0,441.0,9.0,0.0,0.0,441.0,,-1.0,2097.6067314918687,1.496,0.0,14.0,19.0,17.0,857.5,8.0,0.211,9.68,42.0,439.0,0.4211,0.0,1.0,1.0,5.0,0.0,0.0,0.4,4.0,0.25,-3.0,0.053,0.0,24.4,85.0,2.0,50.0,50.0,88.0,,,1.0,0.0,320.0,2.0,1.0,0.0,0.0,0.0,0.0,,2.11,0.222,1246.2
A-65a46c,Company_95,HealthTech,US,2023-11-04,event,Pro,1,False,False,0,209,5.0,1.0,0.0,0.0,20323.0,15522.0,4064.6,1.0,87.0,0.0,Pro,monthly,37.0,1813.0,78.0,15522.0,-41.0,-13709.0,-0.883,1.0,6435.647931638274,1.583,0.0,26.0,13.0,11.0,554.7,8.0,0.154,8.08,1.0,497.0,0.6154,2.0,4.0,5.0,6.0,1.2,2.0,1.667,1.0,5.0,4.0,0.385,0.0045,45.2,131.0,5.0,51.4,68.0,104.4,3.67,3.0,0.4,0.0,52.0,3.0,0.6,0.0,0.0,2.0,2.0,0.0,13.0,5.0,20323.0
A-8b25f2,Company_96,Cybersecurity,US,2024-02-17,ads,Pro,6,False,True,0,104,5.0,0.0,0.0,1.0,3062.0,1990.0,612.4,1.0,102.0,0.0,Pro,monthly,12.0,588.0,20.0,0.0,-8.0,588.0,,0.0,798.9385458218924,1.305,0.0,9.0,13.0,8.0,646.6,4.0,0.154,12.08,38.0,460.0,0.3077,0.0,1.0,1.0,6.0,0.0,0.0,0.333,5.0,0.2,-4.0,0.077,-0.0138,41.8,137.0,2.0,35.5,52.0,50.5,4.0,3.0,0.0,0.0,117.0,0.0,0.0,0.0,0.0,0.0,2.0,,2.17,0.333,510.3
A-503d5a,Company_99,FinTech,US,2023-10-21,other,Enterprise,4,False,True,0,223,8.0,0.0,1.0,3.0,5460.0,2388.0,682.5,0.875,223.0,0.0,Enterprise,monthly,7.0,0.0,49.0,931.0,-42.0,-931.0,-1.0,-1.0,825.8152681701018,1.21,0.0,30.0,30.0,25.0,1692.2,16.0,0.067,9.83,35.0,477.0,0.5333,0.0,3.0,4.0,8.0,0.0,0.0,1.0,4.0,1.0,0.0,0.133,-0.0,16.4,47.0,7.0,37.0,72.0,89.3,4.0,3.0,0.714,0.0,29.0,4.0,0.571,0.0,1.0,2.0,3.0,1.5,7.5,1.75,1365.0
A-186a44,Company_101,HealthTech,US,2023-08-07,ads,Enterprise,20,False,False,0,298,4.0,0.0,1.0,1.0,1740.0,980.0,435.0,0.75,282.0,0.0,Pro,monthly,20.0,0.0,20.0,380.0,0.0,-380.0,-1.0,-1.0,405.09258201058185,0.931,0.0,11.0,12.0,11.0,681.5,4.0,0.083,10.17,61.0,447.0,0.3333,0.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,,2.0,0.167,,40.6,131.0,4.0,43.5,62.0,123.8,3.0,3.0,0.5,0.0,62.0,3.0,0.75,0.0,0.0,1.0,2.0,0.0,0.6,0.2,87.0
A-0aaf6e,Company_114,FinTech,US,2024-05-11,organic,Enterprise,3,False,False,0,20,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,516.0,0.0,,0.0,0.0,,,516.0,516.0,,0.0,0.0,0.0,0.0,,,,0.0,,,,,,,3.0,37.3,56.0,59.7,,,1.0,0.0,207.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,
A-e61e98,Company_115,FinTech,US,2023-10-20,partner,Enterprise,19,False,True,1,224,6.0,2.0,0.0,1.0,5996.0,1960.0,999.3,0.667,208.0,0.0,Pro,annual,19.0,931.0,19.0,931.0,0.0,0.0,0.0,2.0,774.6495121451163,0.775,0.0,18.0,22.0,16.0,945.2,10.0,0.182,9.73,1.0,501.0,0.4545,2.0,3.0,3.0,6.0,2.0,2.0,1.0,3.0,1.0,0.0,0.136,0.0364,23.9,63.0,5.0,35.4,71.0,71.2,4.6,3.0,0.0,1.0,104.0,2.0,0.4,0.2,0.0,0.0,1.0,,1.16,0.263,315.6
A-92a333,Company_116,FinTech,US,2023-03-24,event,Enterprise,9,False,False,0,434,4.0,0.0,1.0,0.0,9215.0,6567.0,2303.8,1.0,301.0,0.0,Enterprise,monthly,9.0,1791.0,9.0,171.0,0.0,1620.0,9.474,-1.0,2921.412372466441,1.268,0.0,75.0,16.0,13.0,746.4,11.0,0.062,10.44,42.0,404.0,0.6875,0.0,2.0,5.0,7.0,0.0,0.0,1.429,2.0,2.5,3.0,0.312,-0.0919,26.9,74.0,3.0,16.3,25.0,43.3,,,1.0,0.0,195.0,1.0,0.333,0.0,0.0,0.0,0.0,,1.78,0.333,1023.9
A-95b24a,Company_117,FinTech,US,2023-06-06,event,Pro,38,False,True,0,360,7.0,1.0,0.0,0.0,22450.0,8557.0,3207.1,0.429,322.0,0.0,Enterprise,annual,43.0,8557.0,47.0,2303.0,-4.0,6254.0,2.716,1.0,3384.7806639215405,1.055,0.0,144.0,28.0,23.0,1399.7,9.0,0.143,10.07,10.0,464.0,0.3214,1.0,2.0,3.0,7.0,1.0,0.857,0.857,4.0,0.75,-1.0,0.107,-0.0,17.8,47.0,5.0,21.2,47.0,90.4,4.25,3.0,0.2,0.0,78.0,4.0,0.8,0.0,0.0,1.0,2.0,0.0,0.74,0.132,590.8
A-7d514c,Company_119,HealthTech,DE,2024-02-03,organic,Enterprise,17,False,False,0,118,3.0,1.0,0.0,1.0,7089.0,6766.0,2363.0,1.0,108.0,0.0,Enterprise,monthly,34.0,6766.0,17.0,0.0,17.0,6766.0,,1.0,3816.5283963308852,1.615,0.0,60.0,12.0,11.0,785.4,4.0,0.083,11.42,1.0,478.0,0.3333,1.0,3.0,3.0,5.0,1.0,1.2,1.2,2.0,1.5,1.0,0.25,-0.0,43.5,207.0,2.0,24.0,43.0,55.0,5.0,5.0,0.5,0.0,64.0,1.0,0.5,0.0,0.0,2.0,2.0,0.0,0.71,0.118,417.0
A-e2cd1b,Company_121,DevTools,US,2024-02-04,other,Enterprise,15,False,False,0,117,3.0,0.0,0.0,0.0,4556.0,2985.0,1518.7,1.0,99.0,0.0,Enterprise,annual,15.0,2985.0,44.0,836.0,-29.0,2149.0,2.571,0.0,1270.8856491963916,0.837,0.0,6.0,16.0,14.0,598.6,4.0,0.188,10.31,3.0,491.0,0.25,2.0,2.0,2.0,9.0,3.0,1.333,0.444,7.0,0.286,-5.0,0.125,-0.0099,32.7,132.0,4.0,40.5,67.0,77.0,3.67,3.0,0.25,0.0,288.0,2.0,0.5,0.0,0.0,0.0,0.0,,1.07,0.267,303.7
A-7df7a7,Company_125,DevTools,US,2023-01-28,organic,Basic,7,False,True,1,489,12.0,0.0,2.0,2.0,21062.0,8955.0,1755.2,0.833,481.0,1.0,Enterprise,monthly,7.0,1393.0,7.0,343.0,0.0,1050.0,3.061,-2.0,2518.5060807526115,1.435,0.083,6.0,44.0,25.0,2072.5,11.0,0.159,10.7,21.0,493.0,0.25,1.0,4.0,4.0,9.0,0.75,0.667,0.889,5.0,0.8,-1.0,0.091,0.0158,11.7,60.0,3.0,28.0,50.0,93.0,4.0,3.0,0.0,1.0,73.0,3.0,1.0,0.333,0.0,1.0,1.0,0.0,6.29,0.429,3008.9
A-52dd88,Company_127,Cybersecurity,US,2023-02-21,ads,Pro,23,False,False,0,465,7.0,0.0,0.0,1.0,4839.0,1274.0,691.3,0.571,432.0,0.0,Pro,monthly,23.0,1127.0,26.0,1274.0,-3.0,-147.0,-0.115,0.0,481.50967947547167,0.697,0.0,80.0,21.0,15.0,1258.8,13.0,0.048,10.05,47.0,432.0,0.619,0.0,1.0,2.0,5.0,0.0,0.0,0.8,3.0,0.667,-1.0,0.095,0.0,21.6,60.0,1.0,72.0,72.0,111.0,,,1.0,0.0,169.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.91,0.043,210.4
